Material at Origin,Land Use at Origin,Size,"Suppressed 
by",Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Suspected Ignition Cause,Equipment Facility Failure,Contact From Object,Contributing Factor,Suppressed by,"Voltage
(Volts)",Fire Size,Fire Suppressed by,Nominal Voltage
Vegetation,Agriculture,<3 meters of linear travel,Fire Agency,21000,Capacitor Bank,Overhead,N,Equipment - PG&E,Capacitor bank failure,,,,,,,
Other,Herbaceous,<0.25,Cal Fire,21000,Recloser,Overhead,Y,Contact from Object,,Animal,,,,,,
Other,Hardwood Woodland,<0.25,Cal Fire,0-750,Service Drop,Overhead,N,Equipment - PG&E,Service Drop,,,,,,,
Vegetation,Urban,<0.25,Cal Fire,21000,,Overhead,Y,Unknown,,,,,,,,
Other,Urban,0.26-9.99,Fire Agency,12000,Recloser,Overhead,Y,Contact from Object,,Animal,,,,,,
Other,Urban,0.26-9.99,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Balloon,,,,,,
Other,Agriculture,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Urban,<0.25,Customer,0-750,Meter,Padmounted,N,Other,,,Human Error,,,,,
Other,Urban,<0.25,Utility - PG&E,60000,Jumper,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Urban,0.26-9.99,Cal Fire,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Hardwood Woodland,0.26-9.99,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Hardwood Forest,<3 meters of linear travel,Fire Agency,0-750,Conductor - Open Wire Secondary,Overhead,Y,Wire-to-wire contact,,,,,,,,
Other,Agriculture,0.26-9.99,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Balloon,,,,,,
Vegetation,Hardwood Woodland,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Other,Urban,<3 meters of linear travel,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Other,Human Error,,,,,
Vegetation,Hardwood Woodland,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Urban,<3 meters of linear travel,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Shrub,<0.25,Customer,0-750,Splice/Clamp/Connector,Overhead,Y,Equipment - PG&E,Transformer failure,,,,,,,
Vegetation,Urban,<0.25,Fire Agency,0-750,Conductor - Open Wire Secondary,Overhead,Y,Contact from Object,,Other,Human Error,,,,,
Vegetation,Agriculture,<0.25,Customer,0-750,Splice/Clamp/Connector,Overhead,N,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Agriculture,0.26-9.99,Cal Fire,21000,Fuse,Overhead,Y,Unknown,,,,,,,,
Vegetation,Hardwood Woodland,<3 meters of linear travel,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Urban,0.26-9.99,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Agriculture,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Other,Urban,<3 meters of linear travel,Fire Agency,0-750,Riser,Overhead,Y,Equipment - PG&E,Riser Failure,,,,,,,
Other,Shrub,<0.25,Fire Agency,21000,Recloser,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Other,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contamination,,,Other,,,,,
Vegetation,Herbaceous,<0.25,Fire Agency,12000,Automatic Wire Splice,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,Other,,,,,
Vegetation,Urban,<3 meters of linear travel,Fire Agency,0-750,Service Drop,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Agriculture,<3 meters of linear travel,Unknown,12000,Splice/Clamp/Connector,Overhead,N,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Other,Hardwood Forest,<0.25,Cal Fire,12000,Splice/Clamp/Connector,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Hardwood Forest,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Herbaceous,<0.25,Customer,21000,Splice/Clamp/Connector,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Other,Urban,Structure-only,Fire Agency,0-750,Conductor - Underground Service,Underground,N,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Hardwood Woodland,Oct-99,Cal Fire,0-750,Conductor - Racked Secondary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Herbaceous,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Other,Herbaceous,0.26-9.99,Fire Agency,12000,Capacitor Bank,Overhead,N,Contact from Object,,Nest,,,,,,
Other,Herbaceous,0.26-9.99,Fire Agency,21000,Transformer Bushing,Overhead,Y,Contact from Object,,Nest,,,,,,
Vegetation,Agriculture,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Building,Urban,Structure-only,Cal Fire,0-750,Service Drop,Overhead,N,Contact from Object,,Vehicle,,,,,,
Vegetation,Hardwood Forest,0.26-9.99,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Urban,<3 meters of linear travel,Unknown,0-750,Service Drop,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Urban,<0.25,Unknown,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Balloon,,,,,,
Vegetation,Hardwood Forest,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Other,Herbaceous,<0.25,Self Extinguished,12000,Transformer Bushing,Overhead,Y,Contact from Object,,Nest,,,,,,
Vegetation,Agriculture,<3 meters of linear travel,Unknown,0-750,Service Drop,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Agriculture,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Agriculture,0.26-9.99,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Vegetation,Hardwood Woodland,Oct-99,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Other,Herbaceous,<0.25,Cal Fire,12000,Transformer,Overhead,N,Contact from Object,,Animal,,,,,,
Vegetation,Agriculture,<3 meters of linear travel,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Conifer Forest,<3 meters of linear travel,Self Extinguished,0-750,Conductor - Open Wire Secondary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Vegetation,Agriculture,0.26-9.99,Fire Agency,12000,Pole,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Agriculture,0.26-9.99,Unknown,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Agriculture,<0.25,Self Extinguished,12000,Pole,Overhead,Y,Equipment - PG&E,Pole failure,,,,,,,
